Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,918
design__instance__area,6357.35
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0011753500439226627
power__switching__total,0.001122180954553187
power__leakage__total,7.222558995323425E-9
power__total,0.002297538099810481
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2559521000923817
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25445110627621303
timing__hold__ws__corner:nom_tt_025C_1v80,0.33095555011052824
timing__setup__ws__corner:nom_tt_025C_1v80,2.0118032253978178
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.330956
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.26079153463801563
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.257912559720286
timing__hold__ws__corner:nom_ss_100C_1v60,0.9247723959468421
timing__setup__ws__corner:nom_ss_100C_1v60,-3.536545378868614
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-51.31435333004189
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-3.536545378868614
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.924772
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,22
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25488259446693695
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2535074999453215
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11353052153061123
timing__setup__ws__corner:nom_ff_n40C_1v95,4.17341817361868
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.113531
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25433594838972695
clock__skew__worst_setup,0.2531978587349963
timing__hold__ws,0.1108221878965925
timing__setup__ws,-3.6581849696004274
timing__hold__tns,0.0
timing__setup__tns,-53.71659535889015
timing__hold__wns,0
timing__setup__wns,-3.6581849696004274
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110822
timing__hold_r2r_vio__count,0
timing__setup_vio__count,67
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 123.53 134.25
design__core__bbox,5.52 10.88 117.76 122.4
design__io,54
design__die__area,16583.9
design__core__area,12517
design__instance__count__stdcell,918
design__instance__area__stdcell,6357.35
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.507897
design__instance__utilization__stdcell,0.507897
design__instance__count__class:inverter,13
design__instance__count__class:sequential_cell,33
design__instance__count__class:multi_input_combinational_cell,550
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,904
design__instance__count__class:tap_cell,172
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,52
design__io__hpwl,3000793
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,11903.8
design__violations,0
design__instance__count__class:timing_repair_buffer,142
design__instance__count__class:clock_buffer,5
design__instance__count__class:clock_inverter,3
design__instance__count__setup_buffer,31
design__instance__count__hold_buffer,12
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,762
route__net__special,2
route__drc_errors__iter:1,297
route__wirelength__iter:1,12870
route__drc_errors__iter:2,92
route__wirelength__iter:2,12748
route__drc_errors__iter:3,62
route__wirelength__iter:3,12778
route__drc_errors__iter:4,9
route__wirelength__iter:4,12758
route__drc_errors__iter:5,0
route__wirelength__iter:5,12759
route__drc_errors,0
route__wirelength,12759
route__vias,4927
route__vias__singlecut,4927
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,155.3
timing__unannotated_net__count__corner:nom_tt_025C_1v80,3
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,3
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,3
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,1
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2552163830287307
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25396563348939
timing__hold__ws__corner:min_tt_025C_1v80,0.32674003316680356
timing__setup__ws__corner:min_tt_025C_1v80,2.0664919249591356
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
