                                                                        Cells by Master                                                                         
┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ Cell                                                                                                                             ┃ Count                     ┃
┡━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━━━━┩
│ sky130_ef_sc_hd__decap_12                                                                                                        │ 225                       │
│ sky130_fd_sc_hd__a2111oi_4                                                                                                       │ 1                         │
│ sky130_fd_sc_hd__a211o_1                                                                                                         │ 3                         │
│ sky130_fd_sc_hd__a211oi_1                                                                                                        │ 3                         │
│ sky130_fd_sc_hd__a211oi_2                                                                                                        │ 2                         │
│ sky130_fd_sc_hd__a211oi_4                                                                                                        │ 1                         │
│ sky130_fd_sc_hd__a21bo_1                                                                                                         │ 11                        │
│ sky130_fd_sc_hd__a21bo_4                                                                                                         │ 2                         │
│ sky130_fd_sc_hd__a21boi_1                                                                                                        │ 2                         │
│ sky130_fd_sc_hd__a21boi_2                                                                                                        │ 1                         │
│ sky130_fd_sc_hd__a21o_1                                                                                                          │ 44                        │
│ sky130_fd_sc_hd__a21oi_1                                                                                                         │ 20                        │
│ sky130_fd_sc_hd__a21oi_2                                                                                                         │ 3                         │
│ sky130_fd_sc_hd__a21oi_4                                                                                                         │ 2                         │
│ sky130_fd_sc_hd__a221o_1                                                                                                         │ 1                         │
│ sky130_fd_sc_hd__a22o_1                                                                                                          │ 10                        │
│ sky130_fd_sc_hd__a22oi_1                                                                                                         │ 5                         │
│ sky130_fd_sc_hd__a22oi_2                                                                                                         │ 5                         │
│ sky130_fd_sc_hd__a2bb2o_1                                                                                                        │ 2                         │
│ sky130_fd_sc_hd__a31o_1                                                                                                          │ 8                         │
│ sky130_fd_sc_hd__a32o_1                                                                                                          │ 2                         │
│ sky130_fd_sc_hd__a41o_1                                                                                                          │ 3                         │
│ sky130_fd_sc_hd__and2_1                                                                                                          │ 17                        │
│ sky130_fd_sc_hd__and2b_1                                                                                                         │ 16                        │
│ sky130_fd_sc_hd__and3_1                                                                                                          │ 23                        │
│ sky130_fd_sc_hd__and3_4                                                                                                          │ 1                         │
│ sky130_fd_sc_hd__and3b_1                                                                                                         │ 1                         │
│ sky130_fd_sc_hd__and4_1                                                                                                          │ 12                        │
│ sky130_fd_sc_hd__and4b_1                                                                                                         │ 7                         │
│ sky130_fd_sc_hd__and4bb_1                                                                                                        │ 1                         │
│ sky130_fd_sc_hd__buf_1                                                                                                           │ 16                        │
│ sky130_fd_sc_hd__buf_2                                                                                                           │ 52                        │
│ sky130_fd_sc_hd__buf_4                                                                                                           │ 1                         │
│ sky130_fd_sc_hd__buf_6                                                                                                           │ 4                         │
│ sky130_fd_sc_hd__buf_8                                                                                                           │ 3                         │
│ sky130_fd_sc_hd__bufinv_16                                                                                                       │ 2                         │
│ sky130_fd_sc_hd__clkbuf_1                                                                                                        │ 11                        │
│ sky130_fd_sc_hd__clkbuf_16                                                                                                       │ 5                         │
│ sky130_fd_sc_hd__clkbuf_2                                                                                                        │ 13                        │
│ sky130_fd_sc_hd__clkbuf_4                                                                                                        │ 3                         │
│ sky130_fd_sc_hd__clkinv_2                                                                                                        │ 1                         │
